full_name,pdes,name,H,diameter,albedo,om,w,moid,class,rms
    57 Mnemosyne,57,Mnemosyne,7.0,112.59,0.2149,199.1679364286716,210.6403932756345,1.8188,MBA,.46394
    58 Concordia,58,Concordia,9.0,106.517,0.044,161.1064771687159,31.12144902777049,1.58585,MBA,.45081
    59 Elpis,59,Elpis,8.0,165.119,0.044,170.0008699237204,210.8516989940277,1.39732,MBA,.46834
    60 Echo,60,Echo,8.5,43.218,0.373,191.546532042671,271.218106242618,.970721,MBA,.45422
    61 Danae,61,Danae,7.5,85.937,0.203,333.5718492597779,12.47044352093064,1.48612,MBA,.40191
    62 Erato,62,Erato,8.7,106.921,0.048,125.1225060351305,277.1761892047909,1.61392,MBA,.49285
    63 Ausonia,63,Ausonia,7.4,116.044,0.125,337.7211267891647,296.065475160381,1.08267,MBA,.5315
    64 Angelina,64,Angelina,8.0,58.292,0.483,309.097173436612,179.2244428070223,1.36242,MBA,.49943
    65 Cybele,65,Cybele,6.8,237.26,0.0706,155.6184006780001,102.8303070016075,2.02868,OMB,.45306
    66 Maja,66,Maja,9.5,71.82,0.0618,7.493461795441436,43.89297661666087,1.19959,MBA,.45583
    67 Asia,67,Asia,8.3,56.309,0.228,202.4112728537664,106.8904788028415,.969089,MBA,.47256
    68 Leto,68,Leto,6.9,122.509,0.228,44.0799271677466,304.4382913698361,1.2729,MBA,.50366
    69 Hesperia,69,Hesperia,7.2,138.13,0.1402,184.9850105271513,289.1127747319172,1.50238,MBA,.4281
    70 Panopaea,70,Panopaea,8.1,127.911,0.038,47.68987659291629,255.4790577106004,1.16399,MBA,.37684
    71 Niobe,71,Niobe,7.1,83.42,0.3052,316.0050397979737,267.070199607553,1.40912,MBA,.47828
    72 Feronia,72,Feronia,9.1,74.966,0.083,207.960674806788,102.8993673588942,.987797,MBA,.49458
    73 Klytia,73,Klytia,9.0,44.590,0.223,6.879375167319663,53.84371153929878,1.56794,MBA,.48229
    74 Galatea,74,Galatea,8.7,118.71,0.0431,197.1434013894793,174.5382204238516,1.12477,MBA,.49207
    75 Eurydike,75,Eurydike,9.0,62.377,0.117,359.3390466771113,339.336814183051,.854684,MBA,.47712
    76 Freia,76,Freia,8.0,145.423,0.058,204.3009574963765,252.2670098462308,1.86521,OMB,.45949
    77 Frigga,77,Frigga,8.6,61.390,0.177,1.144563830368509,61.78325064611489,1.32936,MBA,.47974
    78 Diana,78,Diana,8.4,120.60,0.0706,333.3971837668952,152.7401020343127,1.09539,MBA,.4694
    79 Eurynome,79,Eurynome,8.0,63.479,0.287,206.5336160177101,201.5110121705285,.990903,MBA,.47538
    80 Sappho,80,Sappho,8.0,68.563,0.206,218.6882245527859,139.619520562472,.842636,MBA,.51852
    81 Terpsichore,81,Terpsichore,8.6,117.727,0.045,.9479427714544955,51.63427748366223,1.27219,MBA,.37395
    82 Alkmene,82,Alkmene,8.2,57.621,0.167,25.44437907802782,111.1670687806652,1.16989,MBA,.49309
    83 Beatrix,83,Beatrix,8.8,110.503,0.050,27.72640763358071,168.5949627199593,1.23248,MBA,.46154
    84 Klio,84,Klio,9.4,79.16,0.0527,327.5145863669484,15.14255339787452,.797269,MBA,.44805
    85 Io,85,Io,7.7,154.79,0.0666,203.1041696029255,122.9016238066497,1.15288,MBA,.4689
    86 Semele,86,Semele,8.7,109.929,0.056,86.09722929103361,308.903056686169,1.4494,MBA,.46265
    87 Sylvia,87,Sylvia,6.8,253.051,0.046,73.04063871859609,263.5897257573817,2.17294,OMB,.39616
    88 Thisbe,88,Thisbe,7.2,232,0.0671,276.459727956585,36.34500250133647,1.31019,MBA,.50291
    89 Julia,89,Julia,6.8,145.483,0.189,311.553328995684,45.32886460105362,1.09991,MBA,.55583
    90 Antiope,90,Antiope,8.1,115.974,0.058,69.96053943197353,244.9419888849719,1.61168,MBA,.41387
    91 Aegina,91,Aegina,8.9,103.402,0.048,10.44305216364774,74.27174219695604,1.33125,MBA,.49843
    92 Undina,92,Undina,6.7,126.42,0.2509,101.580309580438,239.0703041703853,1.85767,MBA,.46947
    93 Minerva,93,Minerva,7.9,154.155,0.056,4.03097559157539,274.9405842890119,1.37608,MBA,.45323
    94 Aurora,94,Aurora,7.6,204.89,0.0395,2.565352189570265,60.34317399396132,1.88319,MBA,.37586
    95 Arethusa,95,Arethusa,8.0,147.969,0.058,243.0199018161899,153.7846512275138,1.61108,MBA,.43827
    96 Aegle,96,Aegle,7.7,177.774,0.048,321.4899544985317,208.4618392109735,1.63683,MBA,.40713
    97 Klotho,97,Klotho,7.8,100.717,0.128,159.6173761616878,268.673147573375,1.03677,MBA,.47685
    98 Ianthe,98,Ianthe,8.9,132.788,0.029,353.9043965427055,158.6319249196384,1.19912,MBA,.43748
    99 Dike,99,Dike,9.5,67.354,0.065,41.51414402816562,195.7124946600044,1.13748,MBA,.37985
   100 Hekate,100,Hekate,7.6,85.734,0.205,127.1816249737193,184.3863361283935,1.55137,MBA,.43639
   101 Helena,101,Helena,8.2,65.84,0.1898,343.3825145596577,348.3691245459205,1.21083,MBA,.4416
   102 Miriam,102,Miriam,9.3,82.595,0.051,210.7978678211474,147.0245914992587,.992653,MBA,.45305
   103 Hera,103,Hera,7.6,83.908,0.217,136.0797430481864,188.6794966568636,1.47591,MBA,.51204
   104 Klymene,104,Klymene,8.4,136.553,0.052,41.67665395224462,31.75864404190666,1.65546,MBA,.44429
   105 Artemis,105,Artemis,8.7,94.864,0.016,188.2418777957159,57.10668267323668,1.01156,MBA,.42553
   106 Dione,106,Dione,7.5,207.869,0.044,62.04055629808148,330.8703451458672,1.68166,MBA,.49619
   107 Camilla,107,Camilla,7.1,210.370,0.059,172.5826388498759,306.3970070833901,2.29137,OMB,.43436
   108 Hecuba,108,Hecuba,8.0,75.498,0.148,349.9785283111307,206.0038738563073,2.05666,OMB,.45938
   109 Felicitas,109,Felicitas,9.0,82.588,0.056,2.768339543433465,57.60729454951398,.914008,MBA,.44875
   110 Lydia,110,Lydia,7.9,86.09,0.1808,56.86243010860492,282.5433024755014,1.51103,MBA,.38081
   111 Ate,111,Ate,8.2,126.344,0.062,305.7104692170977,166.9836655169628,1.34765,MBA,.49626
   112 Iphigenia,112,Iphigenia,9.8,69.818,0.042,323.4077880506476,17.31376056825068,1.11381,MBA,.44832
   113 Amalthea,113,Amalthea,8.5,50.137,0.224,123.4466581902112,78.68011430646946,1.17413,MBA,.49606
   114 Kassandra,114,Kassandra,8.3,94.178,0.089,164.0738210511564,352.76719133757,1.32133,MBA,.4813
   115 Thyra,115,Thyra,7.6,79.83,0.2747,308.7961203605699,97.06412412505105,.969494,MBA,.52789
   116 Sirona,116,Sirona,7.8,71.70,0.2560,63.71200251752276,94.41506310524906,1.38702,MBA,.49208
   117 Lomia,117,Lomia,8.0,208.974,0.027,348.7370961242506,50.36193303661402,1.92831,MBA,.41997
   118 Peitho,118,Peitho,8.9,40.211,0.245,47.67843506334334,33.32877127837271,1.05598,MBA,.43296
   119 Althaea,119,Althaea,8.3,57.30,0.2306,203.6471739352165,171.3848040265756,1.37459,MBA,.52206
   120 Lachesis,120,Lachesis,7.8,155.132,0.058,341.1625554178912,233.9639820759302,1.95737,MBA,.46318
   121 Hermione,121,Hermione,7.3,209.00,0.0482,73.11272837514234,296.8740223880407,2.02248,OMB,.4174
   122 Gerda,122,Gerda,7.7,70.676,0.297,178.122815315807,321.4881070714341,2.1354,OMB,.50516
   123 Brunhild,123,Brunhild,8.9,45.209,0.261,307.7251494314763,125.6747998065424,1.39205,MBA,.45954
   124 Alkeste,124,Alkeste,8.1,88.648,0.128,187.9747942410571,62.15468269484589,1.41902,MBA,.50224
   125 Liberatrix,125,Liberatrix,8.8,48.418,0.182,168.9812265250378,110.0107041744845,1.51826,MBA,.38078
   126 Velleda,126,Velleda,9.2,44.82,0.1723,23.27422166423879,327.83525011,1.17597,MBA,.49081
   127 Johanna,127,Johanna,8.6,122,0.042,31.14508112949736,93.54010376189557,1.60311,MBA,.44606
   128 Nemesis,128,Nemesis,7.8,162.515,0.067,76.23770464642422,303.6201497309629,1.40776,MBA,.49332
   129 Antigone,129,Antigone,7.2,113,0.151,135.6670025688493,111.246652575328,1.2805,MBA,.49351
   130 Elektra,130,Elektra,7.1,180.652,0.086,145.0130138407569,237.5204606929402,1.54197,MBA,.40809
   131 Vala,131,Vala,9.9,31.337,0.246,65.6561810571162,160.6156448473563,1.25861,MBA,.37643
   132 Aethra,132,Aethra,8.9,42.87,0.1990,258.3925108396689,255.1758739487939,.772818,MCA,.38373
   133 Cyrene,133,Cyrene,7.8,72.175,0.279,319.0050433511855,290.1309254702602,1.64729,MBA,.40383
   134 Sophrosyne,134,Sophrosyne,9.0,108,0.0364,345.9222859663859,84.67821158780468,1.31726,MBA,.44099
